"區域別","65歲以上男","65歲以上女"
"新北市","231,480","274,305"
"臺北市","197,851","243,409"
"桃園市","110,734","126,785"
"臺中市","148,604","173,863"
"臺南市","125,125","147,487"
"高雄市","182,586","214,504"
"宜蘭縣","32,597","37,690"
"新竹縣","31,800","34,593"
"苗栗縣","40,679","44,927"
"彰化縣","87,580","102,713"
"南投縣","38,853","44,154"
"雲林縣","55,340","66,112"
"嘉義縣","43,369","51,244"
"屏東縣","62,111","69,696"
"臺東縣","15,615","18,635"
"花蓮縣","23,399","27,276"
"澎湖縣","7,509","8,698"
"基隆市","25,156","30,183"
"新竹市","22,775","28,266"
"嘉義市","16,968","21,354"
"金門縣","8,145","8,809"
"連江縣","727","647"
"總計","1,509,003","1,775,350"
