"區域別","65歲以上男","65歲以上女"
"臺北市","151,293","156,017"
"高雄市","68,069","67,950"
"臺北縣","139,023","137,924"
"宜蘭縣","27,793","28,946"
"桃園縣","82,074","67,974"
"新竹縣","27,357","26,539"
"苗栗縣","35,257","36,520"
"臺中縣","64,346","64,266"
"彰化縣","69,389","79,340"
"南投縣","32,874","35,253"
"雲林縣","46,823","56,307"
"嘉義縣","38,001","44,087"
"臺南縣","65,019","72,170"
"高雄縣","61,048","59,197"
"屏東縣","51,925","53,359"
"臺東縣","15,005","14,369"
"花蓮縣","21,417","19,424"
"澎湖縣","6,644","7,143"
"基隆市","19,757","20,635"
"新竹市","17,833","18,251"
"臺中市","39,180","40,322"
"嘉義市","13,222","14,763"
"臺南市","32,298","35,526"
"金門縣","4,921","4,910"
"連江縣","504","468"
"總計","1,131,072","1,161,660"
