"區域別","65歲以上男","65歲以上女"
"新北市","268,371","325,442"
"臺北市","215,609","269,003"
"桃園市","128,251","151,225"
"臺中市","168,935","201,274"
"臺南市","137,955","162,536"
"高雄市","203,088","243,427"
"宜蘭縣","35,332","41,064"
"新竹縣","34,395","37,713"
"苗栗縣","43,403","48,115"
"彰化縣","94,946","111,072"
"南投縣","42,048","47,425"
"雲林縣","58,352","69,007"
"嘉義縣","46,325","53,740"
"屏東縣","66,921","76,039"
"臺東縣","16,629","20,049"
"花蓮縣","25,396","29,805"
"澎湖縣","8,172","9,421"
"基隆市","28,131","34,168"
"新竹市","25,478","31,875"
"嘉義市","18,585","23,611"
"金門縣","9,342","10,081"
"連江縣","863","736"
"總計","1,676,527","1,996,828"
